book_id,authors,title,genre_id,description,price,price_tag,publisher,average_rating,work_ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,modified_date,deleted_date,status
1,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",vh,Nah,50760,54000,,4,4942366,66715,127936,560092,1481306,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,12/16/2021 19:29,NULL,1
2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",tn,Nah,76360,92000,,4,4800065,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,12/16/2021 19:29,NULL,1
3,Stephenie Meyer,"Twilight (Twilight, #1)",kn,Nah,53320,62000,,4,3916824,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,12/16/2021 19:29,NULL,1
4,Harper Lee,To Kill a Mockingbird,tn,Nah,62900,74000,,4,3340896,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,12/16/2021 19:29,NULL,1
5,F. Scott Fitzgerald,The Great Gatsby,vh,Nah,73950,85000,,4,2773745,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,12/16/2021 19:29,NULL,1
6,John Green,The Fault in Our Stars,tn,Nah,29750,35000,,4,2478609,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,12/16/2021 19:29,NULL,1
7,J.R.R. Tolkien,The Hobbit,vh,Nah,80510,97000,,4,2196809,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,12/16/2021 19:29,NULL,1
8,J.D. Salinger,The Catcher in the Rye,kn,Nah,56800,71000,,4,2120637,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,12/16/2021 19:29,NULL,1
9,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",kd,Nah,31320,36000,,4,2078754,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,12/16/2021 19:29,NULL,1
10,Jane Austen,Pride and Prejudice,kn,Nah,65520,78000,,4,2191465,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,12/16/2021 19:29,NULL,1
11,Khaled Hosseini,The Kite Runner,tn,Nah,35260,43000,,4,1878095,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg,12/16/2021 19:29,NULL,1
12,Veronica Roth,"Divergent (Divergent, #1)",gd,Nah,81880,89000,,4,2216814,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg,12/16/2021 19:29,NULL,1
13,"George Orwell, Erich Fromm, Celâl Üster",1984,gd,Nah,68730,79000,,4,2053394,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,12/16/2021 19:29,NULL,1
14,George Orwell,Animal Farm,vh,Nah,78400,98000,,4,1982987,66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg,12/16/2021 19:29,NULL,1
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,vh,Nah,72090,81000,,4,2024493,45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg,12/16/2021 19:29,NULL,1
